id,event,species,sample,filtered,fp_type,particle_id,plastic_composite,microplastic,size_mm,type,colour,colcat,polymer,colcat-polymer,polymer_bin,spectra-allpro,spectra-batchpro,remove-polymer-allpro,subtract-polymer-allpro,subtract-mean-polymer-allpro,remove-polymer-batchpro,subtract-polymer-batchpro,lod-polymer-allpro,loq-polymer-allpro,remove_polymer+colcat_allpro,subtract_polymer+colour_allpro,remove_polymer+colour_batchpro,subtract_polymer+colour_batchpro,lod-polymer+colour-allpro,loq-polymer+colour-allpro,count-y-alltechniques,remove>half-alltechniques,count-y-polymer+colcattechniques,remove>half-polymer+colcattechniques
13-NOG-PROCON,13,NOG,PROCON,14,pro,13NOGPROCON-14D_b1-2_f1-1_E5_p1,Composite,MMP,0.054,MFR,BL,BL,PEVC-Resin,BL_PEVC-Resin,OTHER,,,,,,,,,,,,,,,,,,,
13-NOG-PROCON,13,NOG,PROCON,14,pro,13NOGPROCON-14D_b1-2_f1-1_E8_p1,Plastic,MMP,0.084,MFR,BN,YL,EVA,YL_EVA,EVA,,,,,,,,,,,,,,,,,,,
13-NOG-PROCON,13,NOG,PROCON,21,pro,13NOGPROCON-21D_b1-2_f1-1_B7_p1,Composite,MMP,0.059,MFR,PK,RD,PEST-PBS,RD_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
13-NOG-PROCON,13,NOG,PROCON,21,pro,13NOGPROCON-21D_b1-2_f1-1_C7_p1,Composite,MMP,0.095,MFR,PK,RD,PEST-PBS,RD_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
26-ANI-PROCON,26,ANI,PROCON,21,pro,26ANIPROCON-21D_f2-2_C8_p2,Composite,MMP,0.080,MFR,RD,RD,PEST-PBS,BK_PA,PA,,,,,,,,,,,,,,,,,,,
26-ANI-PROCON,26,ANI,PROCON,21,pro,26ANIPROCON-21D_f2-2_D5_p1,Composite,MMP,0.144,MFR,YL-BN,YL,PNMA,RD_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
26-ANI-PROCON,26,ANI,PROCON,21,pro,26ANIPROCON-21D_f2-2_E5_p1,Composite,MMP,0.089,MFR,RD-PK,RD,PEST-PBS,YL_PNMA,PNMA,,,,,,,,,,,,,,,,,,,
26-ANI-PROCON,26,ANI,PROCON,21,pro,26ANIPROCON-21D_f2-2_E6_p1,Composite,MMP,0.140,MFR,RD-PK,RD,PEST-PBS,RD_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
26-ANI-PROCON,26,ANI,PROCON,na,pro,26ANIPROCON-14D_f1-1_A5_p1,Composite,MMP,0.163,MFR,SV-BK,BK,PA,RD_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
26-NOG-PROCON,26,NOG,PROCON,21,pro,26NOGPROCON-21D_f2-3_B5_p1,Plastic,MMP,0.120,MFR,BN,YL,Resin,YL_Resin,OTHER,,,,,,,,,,,,,,,,,,,
53-NOG-PROCON,53,NOG,PROCON,07,pro,53NOGPROCON-07D_f1-1_D8_p1,Composite,MMP,0.070,MFR,PK,RD,PEST,RD_PEST,PEST,,,,,,,,,,,,,,,,,,,
53-NOG-PROCON,53,NOG,PROCON,21,pro,53NOGPROCON-21D_f1-3_C6_p1,Composite,MMP,0.112,MFR,PK,RD,PEST-ANB-PS-PVC,RD_PEST-MIX,PEST-MIX,,,,,,,,,,,,,,,,,,,
