sample,event,species,type,lab,contamination,plastic-composite,length_mm,girth_mm,gapetosnout_mm,vmo_mm,hmo_mm,weight_g,gut_g,stomach_fullness_index,heart_g,liver_g,condition,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
13ANI12,13,ANI,dig,Hardy301,original,composite,248,114,32.71,30.48,33.27,125.1,6.053,1,1.127,1.755,0.820166955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI12,13,ANI,dig,Hardy301,extreme,composite,248,114,32.71,30.48,33.27,125.1,6.053,1,1.127,1.755,0.820166955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI12,13,ANI,dig,Hardy301,conservative,composite,248,114,32.71,30.48,33.27,125.1,6.053,1,1.127,1.755,0.820166955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANIPRO,13,ANI,pro,Hardy301,original,plastic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANIPRO,13,ANI,pro,Hardy301,original,composite,,,,,,,,,,,,2,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
13NOG01,13,NOG,dig,Hardy301,original,plastic,181,95,12.7,16.27,18.03,56.7,7.836,2,na,0.425,0.956196906,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13NOG01,13,NOG,dig,Hardy301,extreme,plastic,181,95,12.7,16.27,18.03,56.7,7.836,2,na,0.425,0.956196906,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13NOG01,13,NOG,dig,Hardy301,conservative,plastic,181,95,12.7,16.27,18.03,56.7,7.836,2,na,0.425,0.956196906,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13NOG01,13,NOG,dig,Hardy301,original,composite,181,95,12.7,16.27,18.03,56.7,7.836,2,na,0.425,0.956196906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG01,13,NOG,dig,Hardy301,extreme,composite,181,95,12.7,16.27,18.03,56.7,7.836,2,na,0.425,0.956196906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
