sample,event,species,type,lab,contamination,length_mm,weight_g,weight_category,moutharea,moutharea_category,gut_g,condition,condition_category,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
26ANI06,26,ANI,dig,Both,conservative,260,151,137–174,580.1,3.72–6.11,12.536,0.859126081,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI07,26,ANI,dig,Chem305,original,211,68.7,64.9–101,339,1.31–3.72,5.689,0.731323234,BCS1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26ANI07,26,ANI,dig,Chem305,extreme,211,68.7,64.9–101,339,1.31–3.72,5.689,0.731323234,BCS1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26ANI07,26,ANI,dig,Chem305,conservative,211,68.7,64.9–101,339,1.31–3.72,5.689,0.731323234,BCS1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26ANI08,26,ANI,dig,Chem305,original,229,108.2,101–137,461.6,3.72–6.11,8.842,0.900991749,BCS4,2,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26ANI08,26,ANI,dig,Chem305,extreme,229,108.2,101–137,461.6,3.72–6.11,8.842,0.900991749,BCS4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26ANI08,26,ANI,dig,Chem305,conservative,229,108.2,101–137,461.6,3.72–6.11,8.842,0.900991749,BCS4,2,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26ANI09,26,ANI,dig,Chem305,original,252,145.2,137–174,589.1,3.72–6.11,13.316,0.907329422,BCS4,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26ANI09,26,ANI,dig,Chem305,extreme,252,145.2,137–174,589.1,3.72–6.11,13.316,0.907329422,BCS4,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26ANI09,26,ANI,dig,Chem305,conservative,252,145.2,137–174,589.1,3.72–6.11,13.316,0.907329422,BCS4,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26ANI10,26,ANI,dig,Chem305,original,247,156.6,137–174,723.8,6.11–8.51,16.722,1.039204211,BCS5,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI10,26,ANI,dig,Chem305,extreme,247,156.6,137–174,723.8,6.11–8.51,16.722,1.039204211,BCS5,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANI10,26,ANI,dig,Chem305,conservative,247,156.6,137–174,723.8,6.11–8.51,16.722,1.039204211,BCS5,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG01,26,NOG,dig,Chem305,original,209,91.2,64.9–101,160.8,1.31–3.72,8.407,0.998978129,BCS1,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG01,26,NOG,dig,Chem305,extreme,209,91.2,64.9–101,160.8,1.31–3.72,8.407,0.998978129,BCS1,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG01,26,NOG,dig,Chem305,conservative,209,91.2,64.9–101,160.8,1.31–3.72,8.407,0.998978129,BCS1,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG02,26,NOG,dig,Chem305,original,223,131.2,101–137,315.9,1.31–3.72,10.481,1.183093984,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG02,26,NOG,dig,Chem305,extreme,223,131.2,101–137,315.9,1.31–3.72,10.481,1.183093984,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG02,26,NOG,dig,Chem305,conservative,223,131.2,101–137,315.9,1.31–3.72,10.481,1.183093984,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG03,26,NOG,dig,Chem305,original,217,132,101–137,283.6,1.31–3.72,10.783,1.291798362,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG03,26,NOG,dig,Chem305,extreme,217,132,101–137,283.6,1.31–3.72,10.783,1.291798362,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG03,26,NOG,dig,Chem305,conservative,217,132,101–137,283.6,1.31–3.72,10.783,1.291798362,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG04,26,NOG,dig,Chem305,original,235,169.2,137–174,374.8,3.72–6.11,14.098,1.303757356,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG04,26,NOG,dig,Chem305,extreme,235,169.2,137–174,374.8,3.72–6.11,14.098,1.303757356,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG04,26,NOG,dig,Chem305,conservative,235,169.2,137–174,374.8,3.72–6.11,14.098,1.303757356,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG05,26,NOG,dig,Chem305,original,234,162,137–174,417.1,3.72–6.11,16.334,1.264350377,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG05,26,NOG,dig,Chem305,extreme,234,162,137–174,417.1,3.72–6.11,16.334,1.264350377,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG05,26,NOG,dig,Chem305,conservative,234,162,137–174,417.1,3.72–6.11,16.334,1.264350377,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG06,26,NOG,dig,Chem305,original,212,131.4,101–137,202.9,1.31–3.72,10.483,1.379074672,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG06,26,NOG,dig,Chem305,extreme,212,131.4,101–137,202.9,1.31–3.72,10.483,1.379074672,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG06,26,NOG,dig,Chem305,conservative,212,131.4,101–137,202.9,1.31–3.72,10.483,1.379074672,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
26NOG07,26,NOG,dig,Chem305,original,198,96.9,64.9–101,296.3,1.31–3.72,8.062,1.248326547,BCS3,2,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26NOG07,26,NOG,dig,Chem305,extreme,198,96.9,64.9–101,296.3,1.31–3.72,8.062,1.248326547,BCS3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26NOG07,26,NOG,dig,Chem305,conservative,198,96.9,64.9–101,296.3,1.31–3.72,8.062,1.248326547,BCS3,1,0,0,1,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26NOG08,26,NOG,dig,Chem305,original,139,28.7,28.5–64.9,132.6,1.31–3.72,2.601,1.068654936,BCS2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26NOG08,26,NOG,dig,Chem305,extreme,139,28.7,28.5–64.9,132.6,1.31–3.72,2.601,1.068654936,BCS2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26NOG08,26,NOG,dig,Chem305,conservative,139,28.7,28.5–64.9,132.6,1.31–3.72,2.601,1.068654936,BCS2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26NOG09,26,NOG,dig,Chem305,original,185,88.1,64.9–101,192.8,1.31–3.72,8.081,1.391427951,BCS4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26NOG09,26,NOG,dig,Chem305,extreme,185,88.1,64.9–101,192.8,1.31–3.72,8.081,1.391427951,BCS4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26NOG09,26,NOG,dig,Chem305,conservative,185,88.1,64.9–101,192.8,1.31–3.72,8.081,1.391427951,BCS4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26NOG10,26,NOG,dig,Chem305,original,212,132.8,101–137,246.9,1.31–3.72,10.563,1.39376801,BCS4,2,2,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
26NOG10,26,NOG,dig,Chem305,extreme,212,132.8,101–137,246.9,1.31–3.72,10.563,1.39376801,BCS4,2,2,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
26NOG10,26,NOG,dig,Chem305,conservative,212,132.8,101–137,246.9,1.31–3.72,10.563,1.39376801,BCS4,2,2,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
53NOG01,53,NOG,dig,Chem305,original,211,115.1,101–137,289.4,1.31–3.72,10.438,1.225259159,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG01,53,NOG,dig,Chem305,extreme,211,115.1,101–137,289.4,1.31–3.72,10.438,1.225259159,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG01,53,NOG,dig,Chem305,conservative,211,115.1,101–137,289.4,1.31–3.72,10.438,1.225259159,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG02,53,NOG,dig,Chem305,original,226,143.1,137–174,351.5,1.31–3.72,13.985,1.239693478,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG02,53,NOG,dig,Chem305,extreme,226,143.1,137–174,351.5,1.31–3.72,13.985,1.239693478,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG02,53,NOG,dig,Chem305,conservative,226,143.1,137–174,351.5,1.31–3.72,13.985,1.239693478,BCS3,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG03,53,NOG,dig,Chem305,original,199,108,101–137,273.2,1.31–3.72,8.044,1.3704542,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG03,53,NOG,dig,Chem305,extreme,199,108,101–137,273.2,1.31–3.72,8.044,1.3704542,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG03,53,NOG,dig,Chem305,conservative,199,108,101–137,273.2,1.31–3.72,8.044,1.3704542,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG04,53,NOG,dig,Chem305,original,181,77.8,64.9–101,213.2,1.31–3.72,6.483,1.312030323,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG04,53,NOG,dig,Chem305,extreme,181,77.8,64.9–101,213.2,1.31–3.72,6.483,1.312030323,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG04,53,NOG,dig,Chem305,conservative,181,77.8,64.9–101,213.2,1.31–3.72,6.483,1.312030323,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG05,53,NOG,dig,Chem305,original,202,111,101–137,297.8,1.31–3.72,9.386,1.34669383,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG05,53,NOG,dig,Chem305,extreme,202,111,101–137,297.8,1.31–3.72,9.386,1.34669383,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG05,53,NOG,dig,Chem305,conservative,202,111,101–137,297.8,1.31–3.72,9.386,1.34669383,BCS4,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG06,53,NOG,dig,Chem305,original,240,209.8,174–210,426.4,3.72–6.11,18.072,1.517650463,BCS5,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG06,53,NOG,dig,Chem305,extreme,240,209.8,174–210,426.4,3.72–6.11,18.072,1.517650463,BCS5,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG06,53,NOG,dig,Chem305,conservative,240,209.8,174–210,426.4,3.72–6.11,18.072,1.517650463,BCS5,0,,,,,,,,,,,,,,,,,,,,,,,,,
53NOG07,53,NOG,dig,Chem305,original,229,150.6,137–174,405.9,3.72–6.11,10.995,1.254060604,BCS3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53NOG07,53,NOG,dig,Chem305,extreme,229,150.6,137–174,405.9,3.72–6.11,10.995,1.254060604,BCS3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53NOG07,53,NOG,dig,Chem305,conservative,229,150.6,137–174,405.9,3.72–6.11,10.995,1.254060604,BCS3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
